,CompLex_complexity,WCL_complexity,SemEval2016_complexity,BEA2018_News_binaryComplexity,BEA2018_News_probabilisticComplexity,BEA2018_WikiNews_binaryComplexity,BEA2018_WikiNews_probabilisticComplexity,BEA2018_Wikipedia_binaryComplexity,BEA2018_Wikipedia_probabilisticComplexity,tokens
3487,,(2.2857+0j),,,,,,,,butt
3488,,(4+0j),,,,,,,,butte
3489,,(1.5+0j),0j,,,,,,,butter
3490,,,0j,,,,,,,butterflies
3491,,(1.6667+0j),0j,,,,,,,butterfly
3492,,,0j,,,,,,,buttocks
3493,,(1.7143+0j),0j,,,,,,,button
3494,,(1.5714+0j),,,,,,,,buttons
3495,,,(0.5+0j),,,,,,,buttresses
3496,,(2.2+0j),,,,,,,,butts
3497,,(1.3333+0j),0j,,,,,,,buy
3498,,(2.1429+0j),0j,,,,,,,buyer
3499,,(1.8571+0j),,,,,,,,buyers
3500,,(1.3333+0j),0j,0j,0j,,,,,buying
3501,,,0j,,,,,,,buyouts
3502,,(1+0j),0j,,,,,,,buys
3503,,(2.1667+0j),,,,,,,,buzz
3504,,(1.5714+0j),,,,,,,,by
3505,,,0j,,,,,,,by-election
3506,,(1.2857+0j),0j,,,,,0j,0j,bye
3507,,(3.6667+0j),(1+0j),,,,,,,bylaws
3508,,(2.6667+0j),0j,,,,,,,bypass
3509,,,0j,,,,,,,bypassed
3510,,,(1+0j),,,,,,,bypassing
3511,,,0j,,,,,,,byproduct
3512,,(4.4+0j),,,,,,,,byrd
3513,,(3.1429+0j),,,,,,,,byron
3514,,(2.6667+0j),,,,,,,,byte
3515,,,0j,,,,,,,bytecode
3516,,(2.8+0j),(0.5+0j),,,,,,,bytes
3517,,,0j,,,,,,,byword
3518,,,,,,,,0j,0j,bützow
3519,,(1+0j),0j,,,,,,,c
3520,,,,,,,,0j,0j,c programming
3521,,,,,,,,0j,0j,c programming language
3522,,,,,,0j,0j,,,c-130
3523,,,0j,,,,,,,c.
3524,,(2.7143+0j),(0.2857142857142857+0j),,,,,,,ca
3525,,(1.7143+0j),0j,,,,,,,cab
3526,,(5.2+0j),,,,,,,,cabernet
3527,,(1.8571+0j),0j,,,,,,,cabin
3528,,(3.1429+0j),(0.14285714285714285+0j),(1+0j),(0.11875000000000002+0j),(1+0j),(0.2+0j),,,cabinet
3529,,,,(1+0j),(0.13999999999999999+0j),,,,,cabinet meeting
3530,,,0j,,,,,,,cabinetmaker
3531,,(3.4+0j),,,,,,,,cabinets
3532,,(2.1429+0j),,,,,,,,cabins
3533,,(1.8333+0j),0j,,,,,,,cable
3534,,(2+0j),0j,,,,,,,cables
3535,,,0j,,,,,,,cabs
3536,,,0j,,,,,0j,0j,cacao
3537,,(3.6667+0j),0j,,,,,,,cache
3538,,(4.5+0j),,,,,,,,cached
3539,,(3.8571+0j),,,,,,,,caching
3540,,,0j,,,,,,,cacti
3541,,,0j,,,,,,,cactus
3542,,(3+0j),,,,,,,,cadillac
3543,(0.5263157894736842+0j),,,,,,,,,cadmium induction
3544,(0.7083333333333334+0j),,,,,,,,,cadmium response
3545,,,0j,,,,,,,caecilian
3546,,,0j,,,,,,,caecilians
3547,,(3.2857+0j),,,,,,,,caesar
3548,,(1.8333+0j),,,,,,,,cafe
3549,,,0j,,,,,,,cafeterias
3550,,(3.4286+0j),0j,,,,,,,caffeine
3551,,(1.6667+0j),0j,,,,,,,cage
3552,,,0j,,,,,,,cagey
3553,,(3.6667+0j),,,,,,,,cain
3554,,(4.8+0j),,,,,,,,cairns
3555,,(3.2+0j),,0j,0j,,,,,cairo
3556,,(1.6667+0j),0j,,,,,,,cake
3557,,(1.8571+0j),,,,,,,,cakes
3558,,(2.6667+0j),,,,,,,,cal
3559,,,0j,,,,,,,calamitous
3560,,,0j,,,,,,,calcite
3561,,(2.5714+0j),0j,,,,,,,calcium
3562,,(2.8571+0j),0j,,,,,,,calculate
3563,,(2.8571+0j),0j,,,,,,,calculated
3564,,(2.6667+0j),0j,,,,,,,calculating
3565,,(3.2+0j),0j,,,,,,,calculation
3566,,(2.8+0j),0j,,,,,,,calculations
3567,,(2.7143+0j),0j,,,,,,,calculator
3568,,(2.6667+0j),0j,,,,,,,calculators
3569,,(3.2+0j),,,,,,,,calculus
3570,,(3.8+0j),,,,,,,,calcutta
3571,,,,,,,,0j,0j,calder
3572,,,,,,,,(1+0j),(0.2+0j),calder memorial trophy
3573,,(3.7143+0j),,,,,,,,caldwell
3574,,,,,,0j,0j,,,caleb
3575,,(5.4+0j),,,,,,,,caledonia
3576,,,(1+0j),,,,,,,caledonian
3577,,(1.7143+0j),0j,,,,,0j,0j,calendar
3578,,(2+0j),,,,,,,,calendars
3579,,(2.4286+0j),,,,,,,,calf
3580,,(3.8+0j),,,,,,,,calgary
3581,,(5.2+0j),,,,,,,,calhoun
3582,,,0j,,,,,,,calibers
3583,,(3.7143+0j),,,,,,,,calibration
3584,,(1.8333+0j),,,,0j,0j,0j,0j,california
3585,,,,(0.3333333333333333+0j),(0.016666666666666666+0j),,,,,california-based
3586,,,0j,,,,,,,caliph
3587,,(1.3333+0j),0j,0j,0j,0j,0j,,,call
3588,,,0j,,,,,,,call-sign
3589,,,,,,,,(1+0j),(0.65+0j),call-ups
3590,,(4.6+0j),,,,,,,,callaway
3591,,(1.8333+0j),(0.04375+0j),0j,0j,0j,0j,0j,0j,called
3592,,,,(1+0j),(0.05+0j),,,,,called for
3593,,(2.7143+0j),0j,,,,,,,caller
3594,,(1.6667+0j),0j,0j,0j,0j,0j,0j,0j,calling
3595,,(1.5714+0j),0j,0j,0j,0j,0j,,,calls
3596,,,0j,,,,,,,callsign
3597,,(2+0j),0j,(1+0j),(0.10000000000000002+0j),,,,,calm
3598,,,0j,,,,,,,calmness
3599,,(2.8333+0j),,,,,,,,calorie
3600,,(2.4286+0j),,,,,,,,calories
3601,,(2.2857+0j),,,,,,,,calvin
3602,,(2.1429+0j),,,,,,,,cam
3603,,,(1+0j),,,,,,,cambium
3604,,(3.5714+0j),,,,,,,,cambodia
3605,,(2.8571+0j),,,,,,,,cambridge
3606,,(4.8333+0j),,,,,,,,cambridgeshire
3607,,(3.5+0j),,,,,,,,camcorders
3608,,(4.8+0j),,,,,,,,camden
3609,,(1.4286+0j),(0.018518518518518517+0j),,,,,,,came
3610,,,,,,0j,0j,,,came from the east
3611,,(1.6667+0j),,,,,,,,camel
3612,,(3.6+0j),,,,,,,,cameltoe
3613,,,(1+0j),,,,,,,cameo
3614,,(1.8571+0j),0j,,,,,,,camera
3615,,,,,,0j,0j,,,cameraman
3616,,(2.1429+0j),0j,0j,0j,,,,,cameras
3617,,(2.8333+0j),,,,0j,0j,0j,0j,cameron
3618,,,,,,,,(1+0j),(0.05+0j),cameron gallery
3619,,(4.2+0j),,,,,,,,cameroon
3620,,(4.4+0j),,,,,,,,camino
3621,,(1.7143+0j),(0.058823529411764705+0j),,,0j,0j,,,camp
3622,,(2.8571+0j),0j,(0.75+0j),(0.3625+0j),(0.8333333333333334+0j),(0.15833333333333335+0j),,,campaign
3623,,,,(1+0j),(0.1+0j),,,,,campaign ad
3624,,,,(1+0j),(0.3+0j),,,,,campaign-related
3625,,,0j,,,,,,,campaigners
3626,,,0j,,,,,(1+0j),(0.45+0j),campaigning
3627,,(3+0j),0j,,,,,,,campaigns
3628,,(3.6+0j),,,,,,,,campbell
3629,,,,,,(1+0j),(0.2+0j),,,campesino
3630,,(2+0j),0j,,,,,,,camping
3631,,(2+0j),0j,,,,,,,camps
3632,,(1.8571+0j),0j,,,,,(0.5+0j),(0.1+0j),campus
3633,,(2.6667+0j),0j,,,,,,,campuses
3634,,(2.5+0j),0j,,,,,,,cams
3635,,(1+0j),,,,,,,,can
3636,(0.5666666666666667+0j),,,,,,,,,canaanite dwells
3637,,(1.8571+0j),,,,,,0j,0j,canada
3638,,(2+0j),0j,,,,,(0.6666666666666666+0j),(0.03333333333333333+0j),canadian
3639,,(2.5714+0j),,,,,,,,canadians
3640,,,,,,,,(1+0j),(0.1+0j),canadiens
3641,,(2.5714+0j),0j,,,,,,,canal
3642,,,0j,,,,,,,canal-building
3643,,,0j,,,,,,,canals
3644,,(3.6667+0j),0j,,,,,(1+0j),(0.05+0j),canary
3645,,,,,,,,(1+0j),(0.05+0j),canary islands
3646,,,,0j,0j,,,,,canaveral
3647,,(4.2+0j),,,,,,,,canberra
3648,,(1.8571+0j),,,,,,,,cancel
3649,,(2.7143+0j),0j,,,,,(1+0j),(0.2+0j),canceled
3650,,,0j,,,,,,,canceling
3651,,(3.1667+0j),,,,,,,,cancellation
3652,,(2.4286+0j),,,,,,,,cancelled
3653,,(2.2857+0j),0j,0j,0j,,,0j,0j,cancer
3654,,,,0j,0j,,,,,cancer-related
3655,,,,(1+0j),(0.05+0j),,,,,cancer-related complications
3656,,(2.2857+0j),0j,,,,,,,cancers
3657,,(4.8333+0j),,,,,,,,cancun
3658,,(3.1429+0j),(1+0j),,,,,,,candid
3659,,,0j,,,(1+0j),(0.55+0j),,,candidacy
3660,,(3.2857+0j),0j,,,(0.42857142857142855+0j),(0.025+0j),(1+0j),(0.1+0j),candidate
3661,,,,,,,,(1+0j),(0.15+0j),candidate object
3662,,(3.1429+0j),0j,(1+0j),(0.07500000000000001+0j),(0.42857142857142855+0j),(0.021428571428571432+0j),,,candidates
3663,,(1.8571+0j),,,,,,,,candle
3664,,(1.4286+0j),0j,,,,,,,candles
3665,,(1.8333+0j),0j,,,,,,,candy
3666,,(2.8333+0j),,0j,0j,,,,,cane
3667,,,0j,,,,,,,canine
3668,,,0j,,,,,,,canines
3669,(0.6567460317460316+0j),,,,,,,,,canker worm
3670,,(2.1667+0j),0j,,,,,,,canned
3671,,(3+0j),,,,,,,,cannes
3672,,,(0.5+0j),,,,,,,cannibalism
3673,,,0j,,,,,,,canning
3674,,(2.8333+0j),0j,,,0j,0j,,,cannon
3675,,(3.5+0j),,,,,,,,canoe
3676,,(3.1667+0j),(1+0j),,,,,,,canon
3677,,(4.2857+0j),(0.3333333333333333+0j),,,,,,,canonical
3678,,,0j,,,,,,,canonization
3679,,(3.5714+0j),(1+0j),,,(1+0j),(0.8+0j),,,canopy
3680,,(1.5714+0j),,,,,,,,cans
3681,,,,,,,,(1+0j),(0.2+0j),cantata
3682,,(3.6667+0j),,,,,,,,canterbury
3683,,,(0.625+0j),,,,,,,canton
3684,,,0j,,,,,,,cantonment
3685,,,0j,,,,,,,cantons
3686,,,,,,(1+0j),(0.05+0j),,,cantwell
3687,,(2.4286+0j),0j,,,,,,,canvas
3688,,(2.7143+0j),,,,,,,,canyon
3689,,,,0j,0j,,,,,caoimhe
3690,,(1.8571+0j),(0.3333333333333333+0j),,,,,,,cap
3691,,(3.3333+0j),,(1+0j),(0.2+0j),,,,,capabilities
3692,,(3+0j),0j,,,,,,,capability
3693,,(2.6667+0j),0j,(1+0j),(0.05+0j),(1+0j),(0.1+0j),,,capable
3694,,(3.1667+0j),0j,,,,,,,capacities
3695,,(2.7143+0j),0j,(1+0j),(0.3+0j),(1+0j),(0.1+0j),(1+0j),(0.2+0j),capacity
3696,,(2.2857+0j),0j,0j,0j,,,,,cape
3697,,,,(1+0j),(0.1+0j),,,,,cape canaveral
3698,,(3.7143+0j),,,,,,,,capita
3699,,(1.8+0j),0j,(0.3333333333333333+0j),(0.037500000000000006+0j),(0.2+0j),(0.01+0j),0j,0j,capital
3700,,(4.1667+0j),,,,,,,,capitalism
3701,,(3.5+0j),,,,,,,,capitalist
3702,,,0j,,,,,,,capitalization
3703,,,0j,,,,,,,capitalized
3704,,,0j,,,,,,,capitalizing
3705,,(3.5714+0j),,,,,,,,capitol
3706,,(4.8+0j),,,,,,,,capri
3707,,(1.7143+0j),0j,,,0j,0j,,,caps
3708,,,(1+0j),,,,,,,capsicum
3709,,(3.4286+0j),,,,,,,,capsule
3710,,(2.6+0j),0j,,,,,,,capsules
3711,,(2.6667+0j),0j,,,,,0j,0j,captain
3712,,,0j,,,,,,,captains
3713,,(3.6+0j),(0.25+0j),,,(1+0j),(0.05+0j),,,caption
3714,,,0j,,,,,,,caption-text
3715,,(3.3333+0j),0j,,,,,,,captive
3716,(0.525+0j),,,,,,,,,captive exile
3717,,,0j,,,,,,,captivity
3718,(0.4+0j),,,,,,,,,captivity captive
3719,,(2.8333+0j),0j,(1+0j),(0.15+0j),(1+0j),(0.1+0j),,,capture
3720,,(2.6+0j),0j,,,(1+0j),(0.3+0j),,,captured
3721,,(3.2857+0j),,,,,,,,captures
3722,,(2.8333+0j),0j,(1+0j),(0.1+0j),,,,,capturing
3723,,(1.2857+0j),0j,0j,0j,0j,0j,0j,0j,car
3724,,,(1+0j),,,,,,,carapace
3725,,(3.6667+0j),,,,,,,,carat
3726,,(3.4+0j),,,,,,,,caravan
3727,,(2.6+0j),,,,,,,,carb
3728,,(3.1667+0j),0j,,,,,0j,0j,carbon
3729,,,,,,,,(1+0j),(0.15+0j),carbon sink
3730,,,(1+0j),,,,,,,carbonaria
3731,,,0j,,,,,,,carbonate
3732,,,0j,,,,,,,carbonated
3733,,,0j,,,,,,,carcass
3734,(0.6666666666666666+0j),,,,,,,,,carcinogenic substances
3735,,(5.2857+0j),,,,,,,,carcinoma
3736,,(1.4286+0j),0j,,,,,,,card
3737,,,0j,,,,,,,cardamom
3738,,(2.6667+0j),,,,,,,,cardboard
3739,,(3.8+0j),,,,,,,,cardiac
3740,(0.3529411764705882+0j),,,,,,,,,cardiac problems
3741,,(3.1667+0j),,,,,,,,cardiff
3742,,(4+0j),(1+0j),,,,,,,cardinal
3743,,(3.6667+0j),,,,,,,,cardinals
3744,,(4+0j),,,,,,,,cardiology
3745,,(3.8333+0j),0j,,,,,,,cardiovascular
3746,(0.3249999999999999+0j),,,,,,,,,cardiovascular diseases
3747,,(1.3333+0j),0j,,,,,,,cards
3748,,(1.2857+0j),(0.05+0j),,,0j,0j,,,care
3749,,(1.3333+0j),,,,,,,,cared
3750,,(2+0j),0j,,,(1+0j),(0.05+0j),(0.5+0j),(0.075+0j),career
3751,,,,,,,,0j,0j,career nhl games
3752,,(2.8571+0j),0j,,,,,,,careers
3753,,,0j,,,,,,,carefree
3754,,(2.5+0j),0j,,,,,,,careful
3755,,(2.1429+0j),0j,,,,,,,carefully
3756,,,0j,,,,,,,carelessly
3757,,(1.2857+0j),0j,,,,,,,cares
3758,,,0j,,,,,,,caretaker
3759,,(2.8571+0j),(0.5+0j),,,,,,,cargo
3760,,(3.3333+0j),,,,,,,,caribbean
3761,,,0j,,,,,,,caricaturist
3762,,(1.8571+0j),0j,0j,0j,,,,,caring
3763,,(5.8333+0j),,,,,,,,carisoprodol
3764,,(2.5+0j),,,,,,0j,0j,carl
3765,,(3.8+0j),,,,,,,,carleton
3766,,(4.8+0j),,,,,,,,carlisle
3767,,(2.6+0j),,,,,,,,carlo
3768,,(2.6667+0j),,,,,,0j,0j,carlos
3769,,(3.5+0j),,,,,,,,carlson
3770,,(3.3333+0j),,,,,,,,carlton
3771,,,,,,0j,0j,,,carly
3772,,(3.8+0j),,,,,,,,carmel
3773,,(3.2857+0j),,,,,,,,carmen
3774,,(3.1667+0j),,,,,,,,carnegie
3775,,(2.8571+0j),,,,,,,,carnival
3776,,,0j,,,,,,,carnivore
3777,,,0j,,,,,,,carnivorous
3778,,(2.1667+0j),,,,,,,,carol
3779,,(3.6+0j),,,,,,,,carole
3780,,(2.5+0j),,,,0j,0j,,,carolina
3781,,(2.8571+0j),,,,,,,,caroline
3782,,,,,,,,(0.25+0j),(0.0125+0j),carondelet
3783,,,,,,,,0j,0j,carondelet palace
3784,,(2.3333+0j),,,,,,,,carpenter
3785,,(1.7143+0j),0j,,,,,,,carpet
3786,,,,,,,,0j,0j,carpets
3787,,,0j,,,,,,,carrageenan
3788,,(2.5714+0j),(0.2+0j),,,,,,,carriage
3789,,,0j,,,,,,,carriages
3790,,(2.5+0j),,,,,,,,carrie
3791,,(2.3333+0j),(0.13333333333333333+0j),0j,0j,,,,,carried
3792,,(2.2857+0j),0j,,,,,,,carrier
3793,,(2.8571+0j),,(0.4+0j),(0.02+0j),,,,,carriers
3794,,(2+0j),(0.16666666666666666+0j),,,,,,,carries
3795,,(2.5+0j),,,,,,,,carroll
3796,,,,,,,,0j,0j,carrot
3797,,(1.5+0j),0j,0j,0j,,,,,carry
3798,,(2.5+0j),0j,0j,0j,,,,,carrying
3799,,(1.4286+0j),0j,0j,0j,0j,0j,,,cars
3800,,(3.5+0j),,,,,,,,carson
3801,,,,0j,0j,,,,,carsten
3802,,(2.3333+0j),0j,,,,,,,cart
3803,,(4.6667+0j),,,,,,,,carte
3804,,(3.1667+0j),,,,,,,,carter
3805,,(4.4+0j),,,,,,,,cartier
3806,,,0j,,,,,,,cartilage
3807,(0.6833333333333333+0j),,,,,,,,,cartilage differentiation
3808,,,(0.5+0j),,,,,,,cartilages
3809,,,0j,,,,,,,cartography
3810,,(1.7143+0j),0j,,,0j,0j,,,cartoon
3811,,(2+0j),0j,,,,,,,cartoons
3812,,(3.5+0j),,,,,,,,cartridge
3813,,(3.2857+0j),(1+0j),,,,,,,cartridges
3814,,(1.7143+0j),,,,,,,,carts
3815,,,,,,0j,0j,,,cartwright
3816,,,,,,(1+0j),(0.35+0j),,,carve
3817,,(2.8571+0j),0j,,,(1+0j),(0.1+0j),,,carved
3818,,,0j,,,,,,,carver
3819,,(3.4+0j),,,,,,,,casa
3820,,(3.3333+0j),0j,,,,,,,cascade
3821,,,0j,,,,,,,cascades
3822,,(1.5714+0j),0j,0j,0j,0j,0j,0j,0j,case
3823,,,,(1+0j),(0.1+0j),,,,,case management
3824,,,,(1+0j),(0.15+0j),,,,,case management hearing
3825,,(2+0j),0j,,,0j,0j,0j,0j,cases
3826,,,,,,0j,0j,,,cases documented
3827,,(2.7143+0j),,,,,,0j,0j,casey
3828,,(1.5+0j),0j,0j,0j,,,,,cash
3829,,(2.2857+0j),,,,,,,,cashier
3830,,(2+0j),,,,,,,,cashiers
3831,,(3.2857+0j),0j,,,,,(0.4+0j),(0.06999999999999999+0j),casino
3832,,(3.4286+0j),,,,,,(0.25+0j),(0.0125+0j),casinos
3833,,(2.5714+0j),,,,,,,,casio
3834,,,,,,,,(1+0j),(0.1+0j),caspicara
3835,,,(1+0j),,,,,,,cassava
3836,,(3.3333+0j),0j,,,,,,,cassette
3837,,(2.6667+0j),,,,,,,,cassettes
3838,,,(1+0j),,,,,,,cassyn
3839,,(2.5+0j),(0.10526315789473684+0j),,,,,(1+0j),(0.25+0j),cast
3840,,,0j,,,,,,,caste
3841,,(3+0j),0j,,,,,,,casting
3842,,(2.3333+0j),0j,,,,,0j,0j,castle
3843,,,0j,,,,,,,castles
3844,,,(1+0j),,,,,,,castoreum
3845,,(3.6667+0j),,,,,,,,castro
3846,,,,,,(1+0j),(0.2+0j),,,casts
3847,,(2.4286+0j),0j,,,,,,,casual
3848,,,0j,,,,,,,casually
3849,,(4+0j),,(1+0j),(0.5+0j),,,,,casualties
3850,,(3.2+0j),,,,,,,,casualty
3851,,,0j,,,,,,,casued
3852,,(1+0j),0j,,,,,,,cat
3853,,,0j,,,,,,,cat-eyed
3854,,,(1+0j),,,,,,,cataclysmic
3855,,,(1+0j),,,,,,,catagen
3856,,(3.8+0j),0j,,,,,,,catalan
3857,,(3.2857+0j),,,,,,,,catalog
3858,,,0j,,,,,,,cataloging
3859,,(3.8333+0j),0j,,,,,,,catalogs
3860,,(3.1667+0j),,,,,,,,catalogue
3861,,,0j,,,,,,,catalogued
3862,,(3.8+0j),,,,,,,,catalyst
3863,,,0j,,,,,,,catalysts
3864,,,0j,,,,,,,catalytic
3865,(0.65625+0j),,,,,,,,,catalytic serine
3866,(0.618421052631579+0j),,,,,,,,,catalytic subunits
3867,,,0j,,,,,,,catalyzed
3868,,,(0.25+0j),,,,,,,catastrophic
3869,,(2.1429+0j),0j,(1+0j),(0.1+0j),,,,,catch
3870,,(2.3333+0j),0j,,,,,,,catches
3871,,(2.2857+0j),0j,,,,,,,catching
3872,,,0j,,,,,,,catchment
3873,,,0j,,,,,,,categorial
3874,,(2.6667+0j),0j,,,,,,,categories
3875,,,0j,,,,,,,categorisation
3876,,,0j,,,,,,,categorise
3877,,,0j,,,,,,,categorised
3878,,(3.2857+0j),,,,,,,,categorized
3879,,,0j,,,,,,,categorizes
3880,,(2.2857+0j),0j,,,,,,,category
3881,,(3+0j),,,,,,,,cater
3882,,(3.3333+0j),0j,,,,,,,catering
3883,,,0j,,,,,,,caterpillar-like
3884,,,(0.3333333333333333+0j),,,,,,,caters
3885,,(3.7143+0j),0j,,,,,(1+0j),(0.05+0j),cathedral
3886,,(3.2857+0j),,0j,0j,,,0j,0j,catherine
3887,,,,,,,,(1+0j),(0.95+0j),cathode
3888,,,0j,,,,,,,cathodic
3889,,(2.8333+0j),,,,(0.5+0j),(0.025+0j),,,catholic
3890,,(3.3333+0j),,,,,,,,catholics
3891,,(2.4286+0j),,,,,,,,cathy
3892,,(1.1667+0j),0j,,,,,,,cats
3893,,(2+0j),(0.14285714285714285+0j),,,,,,,cattle
3894,,(3.8571+0j),,,,,,,,caucasian
3895,,,,,,(1+0j),(0.2+0j),,,caucus
3896,,,(1+0j),,,,,,,caudal
3897,,(2.4286+0j),0j,,,,,0j,0j,caught
3898,,(2.6+0j),,,,,,,,causal
3899,,(2+0j),0j,,,,,,,cause
3900,,(1.6667+0j),0j,0j,0j,0j,0j,0j,0j,caused
3901,,(1.8571+0j),0j,,,,,,,causes
3902,,,0j,,,,,,,causeway
3903,,(2.2857+0j),0j,0j,0j,0j,0j,,,causing
3904,,,(1+0j),,,,,,,caustic
3905,,(2.4286+0j),0j,,,(1+0j),(0.15+0j),,,caution
3906,,,,,,(1+0j),(0.1+0j),,,caution flag
3907,,,0j,,,,,,,cautionary
3908,,(3+0j),0j,,,,,,,cautious
3909,,,,,,,,(1+0j),(0.95+0j),cavalryman
3910,,(1.8333+0j),0j,,,,,,,cave
3911,,,(1+0j),,,,,,,caveat
3912,,,0j,,,,,,,caves
3913,,(2.3333+0j),0j,,,,,,,cavity
3914,,(3+0j),,,,,,,,cayman
3915,,(3.2+0j),,,,0j,0j,,,cbs
3916,,(3.4+0j),,,,,,,,cc
3917,,(3.1667+0j),,,,0j,0j,,,cctv
3918,,,,,,(1+0j),(0.05+0j),,,cctv video footage
3919,,(2+0j),,,,0j,0j,,,cd
3920,,(3.2+0j),,,,,,,,cdma
3921,,,,0j,0j,,,,,cdn
3922,,(4+0j),,,,,,,,cdna
3923,,(2.3333+0j),,,,,,,,cds
3924,,(3.3333+0j),,,,,,(1+0j),(0.1+0j),ce
3925,,(2.7143+0j),,,,(1+0j),(0.35+0j),,,cease
3926,,,,(1+0j),(0.48333333333333334+0j),,,,,cease-fire
3927,,(2.7143+0j),0j,,,(1+0j),(0.4+0j),,,ceased
3928,,,,,,0j,0j,,,ceased his strike
3929,,,,(1+0j),(0.55+0j),(1+0j),(0.55+0j),,,ceasefire
3930,,,,(1+0j),(0.15+0j),,,,,ceasefire brokered
3931,,,0j,,,,,,,ceasefires
3932,,(3.3333+0j),,,,,,,,cecil
3933,,(3.2+0j),,,,,,,,cedar
3934,,(2+0j),,,,,,,,ceiling
3935,,,0j,,,,,,,ceilings
3936,,(2.4+0j),,,,,,,,celeb
3937,,,0j,,,,,,,celebrant
3938,,(2.4286+0j),0j,,,(0.25+0j),(0.05+0j),,,celebrate
3939,,(2.4286+0j),0j,(1+0j),(0.2+0j),,,(1+0j),(0.1+0j),celebrated
3940,,(2.2857+0j),0j,,,,,,,celebrates
3941,,(2.8333+0j),,,,,,,,celebrating
3942,,(2.3333+0j),0j,,,,,,,celebration
3943,,(3+0j),0j,,,,,,,celebrations
3944,,(2.4286+0j),0j,,,,,,,celebrities
3945,,(2.8571+0j),0j,,,,,,,celebrity
3946,,,0j,,,,,,,celebrity-worship
3947,,(4.8+0j),,,,,,,,celeron
3948,,,0j,,,,,,,celeste
3949,,(4.8333+0j),,,,,,,,celexa
3950,,(2.1429+0j),0j,,,,,,,cell
3951,(0.4464285714285714+0j),,,,,,,,,cell differentiation
3952,(0.3552631578947368+0j),,,,,,,,,cell shape
3953,(0.3166666666666666+0j),,,,,,,,,cell type
3954,,(3.2+0j),0j,,,,,,,cellar
3955,,,0j,,,,,,,cellist
3956,,(2.6667+0j),,,,,,,,cellphone
3957,,(2+0j),0j,,,,,,,cells
3958,,(3.3333+0j),0j,,,,,,,cellular
3959,(0.453125+0j),,,,,,,,,cellular activities
3960,,,0j,,,,,,,cellulose
3961,,(3.8571+0j),,,,,,,,celtic
3962,,(2.7143+0j),0j,,,,,,,cement
3963,,,,(1+0j),(0.575+0j),,,,,cementing
3964,,,0j,,,,,,,cemeteries
3965,,(3+0j),(0.2+0j),,,(1+0j),(0.4+0j),,,cemetery
3966,,,0j,,,,,,,censor
3967,,,0j,,,,,,,censors
3968,,(3.6667+0j),0j,,,,,,,censorship
3969,,(3.7143+0j),(0.18181818181818182+0j),,,,,(1+0j),(0.25+0j),census
3970,,,,,,,,(1+0j),(0.05+0j),census estimates
3971,,(1.4286+0j),,0j,0j,,,,,cent
3972,,(4.2+0j),(1+0j),,,,,,,centennial
3973,,(1.8571+0j),(0.017857142857142856+0j),0j,0j,0j,0j,0j,0j,center
3974,,(1.8333+0j),0j,,,,,,,centered
3975,,,0j,,,,,,,centering
3976,,,(1+0j),,,,,,,centerpiece
3977,,(2+0j),0j,,,,,0j,0j,centers
3978,,,,,,,,0j,0j,centimeters
3979,,(1.7143+0j),0j,(0.1111111111111111+0j),(0.005555555555555556+0j),(0.16666666666666666+0j),(0.008333333333333333+0j),0j,0j,central
3980,,,,,,,,(1+0j),(0.05+0j),central rachis
3981,,,0j,,,,,,,centrality
3982,,,0j,,,,,,,centralization
3983,,(2.8571+0j),0j,,,,,,,centralized
3984,,,0j,,,,,,,centralizing
3985,,(2.2857+0j),,,,,,,,centrally
3986,,(2+0j),,(1+0j),(0.1+0j),0j,0j,0j,0j,centre
3987,,,,(1+0j),(0.325+0j),,,,,centre-right
3988,,,,0j,0j,,,,,centre-right government
3989,,,0j,,,,,,,centred
3990,,(1.8333+0j),0j,,,,,,,centres
3991,,,0j,,,,,,,centrifugal
3992,,,0j,,,,,,,centrioles
3993,,(2.6667+0j),,,,,,,,centro
3994,,,(1+0j),,,,,,,centrosome
3995,,(1.4286+0j),0j,,,,,,,cents
3996,,(2.4286+0j),0j,,,,,,,centuries
3997,,,0j,,,,,,,centuries-old
3998,,,0j,,,,,,,centurion
3999,,,0j,,,,,,,centurions
4000,,(2.7143+0j),(0.011494252873563218+0j),,,,,(0.6666666666666666+0j),(0.03333333333333333+0j),century
4001,,(2.7143+0j),,,,0j,0j,(1+0j),(0.05+0j),ceo
4002,,,,,,,,(1+0j),(0.05+0j),ceo throughout
4003,,,(1+0j),,,,,,,cephalopod
4004,,,(1+0j),,,,,,,cephalopods
4005,,,(1+0j),,,,,,,cephalothorax
4006,,(3+0j),,,,,,,,ceramic
4007,,(3.1429+0j),,,,,,(1+0j),(0.1+0j),ceramics
4008,,(3+0j),0j,,,,,,,cereal
4009,,,0j,,,,,,,cereals
4010,,(4+0j),,,,,,,,cerebral
4011,,,0j,,,,,,,ceremonial
4012,,,,,,(1+0j),(0.85+0j),,,ceremonially
4013,,(2.8571+0j),0j,,,,,,,ceremonies
4014,,(2.7143+0j),0j,(1+0j),(0.15+0j),(1+0j),(0.2642857142857143+0j),,,ceremony
4015,,(5.6667+0j),,,,,,,,cerevisiae
4016,,(3.6+0j),,,,,,,,cern
4017,,,,,,0j,0j,,,cernan
4018,,,,,,0j,0j,,,cernan worked
4019,,(2+0j),0j,,,,,,,certain
4020,,(2.7143+0j),0j,,,,,,,certainly
